card_id,min_amount,min_amount_source,category_id,group_name,benefit_type,rate,fixed_amount,unit_basis,raw_text
2236,0,CARD_LEVEL,19,편의점,VOUCHER_GIFT,,,,"GS25 행사상품 현장 즉시 할인 및 추가 증정 행사
GS&POINT: GS리테일 이용 시 적립"
2251,300000,CARD_LEVEL,1,쇼핑,INSTALLMENT_SERVICE,,,,오케이몰 상품 구매 시 장기할부 제공
2279,400000,CARD_LEVEL,6,기타,MEMBERSHIP_BENEFIT,,,,신세계백화점 제휴 서비스
2280,0,CARD_LEVEL,2,모든가맹점,POINT_UNSPECIFIED,,,,한도 제한 없는 기본적립/특별적립
2280,0,CARD_LEVEL,20,항공마일리지,MILEAGE_UNSPECIFIED,,,,멤버십 리워즈(MR)를 10여개 항공사 마일리지로 전환
2280,0,CARD_LEVEL,29,여행/숙박,POINT_UNSPECIFIED,,,,"멤버십 리워즈(MR)를 글로벌 체인 호텔 멤버십 포인트로 전환 또는 전세계 호텔 예약에 사용
글로벌 호텔 체인 멤버십 골드 등급 업그레이드 , 전 세계 호텔/리조트에서 프리미엄 서비스 제공"
2281,0,CARD_LEVEL,2,모든가맹점,POINT_UNSPECIFIED,,,,한도 제한 없는 기본적립/특별적립
2281,0,CARD_LEVEL,20,항공마일리지,MILEAGE_UNSPECIFIED,,,,멤버십 리워즈(MR)를 10여개 항공사 마일리지로 전환
2281,0,CARD_LEVEL,29,여행/숙박,POINT_UNSPECIFIED,,,,"멤버십 리워즈(MR)를 글로벌 체인 호텔 멤버십 포인트로 전환
또는 전세계 호텔 예약에 사용"
2282,0,CARD_LEVEL,2,모든가맹점,POINT_UNSPECIFIED,,,,한도 제한 없는 기본적립/특별적립
2282,0,CARD_LEVEL,20,항공마일리지,MILEAGE_UNSPECIFIED,,,,멤버십 리워즈(MR)를 10여개 항공사 마일리지로 전환
2282,0,CARD_LEVEL,29,여행/숙박,POINT_UNSPECIFIED,,,,"멤버십 리워즈(MR)를 글로벌 체인 호텔 멤버십 포인트로 전환
또는 전세계 호텔 예약에 사용"
2286,300000,CARD_LEVEL,3,주유,POINT_UNSPECIFIED,,,,"[PLUS] S-OIL, 현대오일뱅크 주유 및 충전시 리터(ℓ)당 60점 적립"
2287,500000,CARD_LEVEL,6,기타,DISCOUNT_SERVICE_GENERIC,,,,MX Black Zone 할인서비스 제공 기준
2287,500000,CARD_LEVEL,28,프리미엄 서비스,PREMIUM_SERVICE,,,,VISA/MasterCard 플래티넘서비스
2291,0,CARD_LEVEL,28,프리미엄 서비스,MEMBERSHIP_BENEFIT,,,,메리어트 본보이™ 엘리트 멤버십 제공 (연회비 주기 내 2천만원 이상)
2292,0,CARD_LEVEL,6,기타,INSTALLMENT_SERVICE,,,,"사업구매전용 플레이트(2021. 11. 25 ~ 2022. 11. 24)
모든 가맹점에서 2~3개월 할부 결제 시 무이자 혜택 제공"
2293,0,CARD_LEVEL,6,기타,INSTALLMENT_SERVICE,,,,"사업구매전용 플레이트(2021. 11. 25 ~ 2022. 11. 24)
모든 가맹점에서 2~3개월 할부 결제 시 무이자 혜택 제공"
2307,100000,CARD_LEVEL,9,주유소,POINT_UNSPECIFIED,,,,SK주유소(LPG 제외)에서 리터당 50포인트 SK주유포인트 적립
2326,300000,CARD_LEVEL,13,선택형,POINT_UNSPECIFIED,,,,해피포인트 해피리워드 카드 디자인 선택
2327,0,CARD_LEVEL,2,모든가맹점,MILEAGE_UNSPECIFIED,,,,[대한항공 마일리지]국내 및 해외 가맹점 대한항공 1마일 기본 적립
2327,0,CARD_LEVEL,32,해외이용,MILEAGE_UNSPECIFIED,,,,"[대한항공 마일리지]해외 이용(직구, 온라인 포함) 대한항공 1마일 추가 적립"
2327,0,CARD_LEVEL,15,면세점,MILEAGE_UNSPECIFIED,,,,[대한항공 마일리지]면세점 업종 1마일 대한항공 추가 적립
2357,400000,CARD_LEVEL,28,프리미엄 서비스,POINT_UNSPECIFIED,,,,[리워드 서비스] 웰컴 레고랜드 포인트리 7만점 적립
2357,400000,CARD_LEVEL,28,프리미엄 서비스,POINT_UNSPECIFIED,,,,[리워드 서비스] 레고랜드 포인트리 8만점 적립
2359,300000,CARD_LEVEL,9,주유소,POINT_UNSPECIFIED,,,,현대오빌뱅크/SK에너지 우대 주유소 25~85 포인트 적립
2359,300000,CARD_LEVEL,25,정비,MEMBERSHIP_BENEFIT,,,,[제휴서비스] Bluemembers 멤버십 서비스
2361,0,CARD_LEVEL,16,프리미엄,PREMIUM_SERVICE,,,,Master / AMEX Platinum Service
2369,300000,CARD_LEVEL,28,프리미엄 서비스,PREMIUM_SERVICE,,,,국제브랜드사의 Platinum 등급의 서비스 제공
2372,300000,CARD_LEVEL,6,기타,VOUCHER_GIFT,,,,[Weekly 할인 쿠폰] 매월 2회 국내 이용 할인 쿠폰 제공
2388,0,CARD_LEVEL,23,바우처,VOUCHER_GIFT,,,,연간 6만 넥슨 현대카드 포인트 바우처
2396,0,CARD_LEVEL,23,바우처,VOUCHER_GIFT,,,,[프리미엄 기프트] 우리WON꿀머니 20만점
2397,0,CARD_LEVEL,26,해외,MILEAGE_UNSPECIFIED,,,,"해외, 면세점 2마일 적립"
2397,0,CARD_LEVEL,23,바우처,VOUCHER_GIFT,,,,[프리미엄 기프트] 우리WON꿀머니 20만점
2398,500000,CARD_LEVEL,7,백화점,MEMBERSHIP_BENEFIT,,,,신세계백화점 제휴 서비스
2398,500000,CARD_LEVEL,15,면세점,MEMBERSHIP_BENEFIT,,,,신세계면세점 멤버십 우대 서비스
2404,300000,CARD_LEVEL,1,쇼핑,INSTALLMENT_SERVICE,,,,코오롱 FnC 온/오프라인 매장 상품 구매시 장기할부 및 12/24/36개월 할부금 청구할인 제공
2430,0,CARD_LEVEL,6,기타,POINT_UNSPECIFIED,,,,M포인트 사용
2433,0,CARD_LEVEL,4,금융,INSTALLMENT_SERVICE,,,,장기할부 서비스
2436,500000,CARD_LEVEL,23,바우처,VOUCHER_GIFT,,,,취향대로 선택하는 럭셔리 라이프 바우처
2443,200000,CARD_LEVEL,14,생활,POINT_UNSPECIFIED,,,,일상생활업종 NH포인트 적립
2450,500000,CARD_LEVEL,23,바우처,VOUCHER_GIFT,,,,"[HERITAGE 전용혜택] 쿠폰서비스(연 1회 제공, 3가지 중 택1)"
2451,500000,CARD_LEVEL,23,바우처,VOUCHER_GIFT,,,,"[HERITAGE 전용혜택] 쿠폰서비스 (연 1회 제공, 3가지 중 택1)"
2459,500000,CARD_LEVEL,28,프리미엄 서비스,VOUCHER_GIFT,,,,GIFT 기프트 서비스
2460,500000,CARD_LEVEL,23,바우처,VOUCHER_GIFT,,,,[GIFT] 5가지 기프트 중에서 매년 1가지를 선택
2461,500000,CARD_LEVEL,23,바우처,VOUCHER_GIFT,,,,[GIFT] 5가지 기프트 중에서 매년 2가지를 선택
2465,0,CARD_LEVEL,7,백화점,MEMBERSHIP_BENEFIT,,,,신세계백화점 제휴 서비스
2465,0,CARD_LEVEL,15,면세점,MEMBERSHIP_BENEFIT,,,,신세계면세점 멤버십 우대 서비스
2466,300000,CARD_LEVEL,18,카페,VOUCHER_GIFT,,,,이디야 멤버스 음료쿠폰 제공
2468,300000,CARD_LEVEL,5,통신,DISCOUNT_SERVICE_GENERIC,,,,"KMVNO 알뜰폰
통신요금 자동이체 할인 서비스"
2469,0,CARD_LEVEL,28,프리미엄 서비스,PREMIUM_SERVICE,,,,Platinum Service
2470,0,CARD_LEVEL,7,백화점,POINT_UNSPECIFIED,,,,신세계포인트 적립 서비스
2491,0,CARD_LEVEL,6,기타,VOUCHER_GIFT,,,,[Weekly 할인 쿠폰] 매주 1회 국내 이용 할인 쿠폰 제공
2492,0,CARD_LEVEL,6,기타,VOUCHER_GIFT,,,,[Weekly 할인 쿠폰] 매월 2회 국내 이용 할인 쿠폰 제공
2495,500000,CARD_LEVEL,16,프리미엄,PREMIUM_SERVICE,,,,Platinum 서비스
2497,500000,CARD_LEVEL,6,기타,INSTALLMENT_SERVICE,,,,LG 전자 베스트샵 매장에서 할부 수수료 혜택
2521,400000,CARD_LEVEL,28,프리미엄 서비스,PREMIUM_SERVICE,,,,VISA/AMEX 플래티넘 서비스
2527,0,CARD_LEVEL,21,온라인쇼핑,POINT_UNSPECIFIED,,,,One Pick 온라인 쇼핑몰 가맹점 최대 3천 포인트 적립
2528,0,CARD_LEVEL,12,푸드,POINT_UNSPECIFIED,,,,One Pick 맛집 가맹점 최대 3천 포인트 적립
2532,0,CARD_LEVEL,28,프리미엄 서비스,PREMIUM_SERVICE,,,,Mastercard Platinum 서비스 제공
2533,400000,CARD_LEVEL,14,생활,DISCOUNT_SERVICE_GENERIC,,,,일상생활 청구할인 서비스
2540,0,CARD_LEVEL,28,프리미엄 서비스,VOUCHER_GIFT,,,,"Excusive 전용 쿠폰서비스1 [연 1회 제공, 4가지 중 1가지 선택]"
2540,0,CARD_LEVEL,28,프리미엄 서비스,VOUCHER_GIFT,,,,"Excusive 전용 쿠폰서비스2 [연 1회 제공, 2가지 중 1가지 선택]"
2541,0,CARD_LEVEL,28,프리미엄 서비스,VOUCHER_GIFT,,,,"Reserve 전용혜택 쿠폰서비스 [연 1회 제공, 3가지 중 1가지 선택]"
2542,0,CARD_LEVEL,28,프리미엄 서비스,VOUCHER_GIFT,,,,"Reserve 전용혜택 쿠폰서비스 [연 1회 제공, 3가지 중 1가지 선택]"
