card_id,min_amount,min_amount_source,category_id,group_name,benefit_type,rate,fixed_amount,unit_basis,raw_text
232,300000,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,하나멤버스 서비스
234,300000,CARD_LEVEL,18,카페,UNCLASSIFIED,,,,"스타벅스, 커피빈 할인"
234,300000,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,하나멤버스 서비스
237,300000,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,옵션서비스(프리미엄 부가서비스)
238,300000,CARD_LEVEL,3,주유,UNCLASSIFIED,,,,SK주유소 월 최대 6천원 청구할인
238,300000,CARD_LEVEL,18,카페,UNCLASSIFIED,,,,스타벅스/커피빈 4천원 이상 결제시 4천원 청구할인
239,300000,CARD_LEVEL,3,주유,UNCLASSIFIED,,,,SK주유소 월 최대 6천원 청구할인
239,300000,CARD_LEVEL,18,카페,UNCLASSIFIED,,,,스타벅스/커피빈 4천원 이상 결제시 4천원 청구할인
240,300000,CARD_LEVEL,18,카페,UNCLASSIFIED,,,,스타벅스/커피빈 4천원 이상 결제시 4천원 청구할인
247,300000,CARD_LEVEL,14,생활,UNCLASSIFIED,,,,"기본서비스(커피, 편의점, 통신, 영화할인)"
247,300000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,"선택서비스(쇼핑, 주유할인)"
247,300000,CARD_LEVEL,17,대중교통,UNCLASSIFIED,,,,"우대PLUS서비스(대중교통, 외식할인)"
247,300000,CARD_LEVEL,11,테마파크,UNCLASSIFIED,,,,주요 놀이공원 현장할인
248,400000,CARD_LEVEL,14,생활,UNCLASSIFIED,,,,"기본서비스(교육, 아파트관리비, 통신, 영화할인)"
248,400000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,"선택서비스(쇼핑, 주유할인)"
248,400000,CARD_LEVEL,22,대형마트,UNCLASSIFIED,,,,"우대PLUS서비스(대형마트, 외식할인)"
248,400000,CARD_LEVEL,11,테마파크,UNCLASSIFIED,,,,주요 놀이공원 현장할인
250,500000,CARD_LEVEL,17,대중교통,UNCLASSIFIED,,,,대중교통 청구할인
250,500000,CARD_LEVEL,19,편의점,UNCLASSIFIED,,,,편의점 청구할인
250,500000,CARD_LEVEL,18,카페,UNCLASSIFIED,,,,커피 청구할인
270,500000,CARD_LEVEL,10,영화,UNCLASSIFIED,,,,영화 할인
270,500000,CARD_LEVEL,18,카페,UNCLASSIFIED,,,,커피전문점 할인
270,500000,CARD_LEVEL,17,대중교통,UNCLASSIFIED,,,,대중교통 할인
270,500000,CARD_LEVEL,9,주유소,UNCLASSIFIED,,,,주유소 할인
270,500000,CARD_LEVEL,19,편의점,UNCLASSIFIED,,,,편의점 할인
270,500000,CARD_LEVEL,22,대형마트,UNCLASSIFIED,,,,마트 할인
270,500000,CARD_LEVEL,11,테마파크,UNCLASSIFIED,,,,놀이공원 할인
281,0,CARD_LEVEL,4,금융,UNCLASSIFIED,,,,수수료 우대
282,300000,CARD_LEVEL,10,영화,UNCLASSIFIED,,,,"신세계백화점 입점영화관 토,일요일 2천원 캐시백"
282,300000,CARD_LEVEL,18,카페,UNCLASSIFIED,,,,스타벅스 사이즈업 지원 캐시백
286,0,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,플레이트 디자인 선택 가능
286,0,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,Master 플래티늄 서비스
302,300000,CARD_LEVEL,10,영화,UNCLASSIFIED,,,,맥스무비 최대 2천원 캐시백
312,200000,CARD_LEVEL,14,생활,UNCLASSIFIED,,,,"쇼핑, 커피, 영화, 편의점, 교통 등 국내 캐시백 서비스"
315,200000,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,월간 통합 캐쉬백 한도
323,300000,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,공통서비스
324,300000,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,YG 엔터테인먼트 운영 쇼핑몰 할인
325,300000,CARD_LEVEL,23,바우처,UNCLASSIFIED,,,,"GIFT VOUCHER (연 1회, 택1회)"
325,300000,CARD_LEVEL,29,여행/숙박,UNCLASSIFIED,,,,[Travel Service] 국내외 여행 관련 서비스 제공
326,200000,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,공통서비스
330,100000,CARD_LEVEL,24,마트/편의점,UNCLASSIFIED,,,,편의점/올리브영 캐시백
330,100000,CARD_LEVEL,27,교통,UNCLASSIFIED,,,,티머니 충전 캐시백
330,100000,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,통합 월 캐시백 한도
335,300000,CARD_LEVEL,32,해외이용,UNCLASSIFIED,,,,해외이용/해외직구 할인캐시백
350,200000,CARD_LEVEL,30,렌터카,UNCLASSIFIED,,,,SK렌터카 할인 (연 2회)
355,300000,CARD_LEVEL,18,카페,UNCLASSIFIED,,,,커피/제과 할인
355,300000,CARD_LEVEL,10,영화,UNCLASSIFIED,,,,CGV 할인
357,300000,CARD_LEVEL,7,백화점,UNCLASSIFIED,,,,AK특화 서비스
357,300000,CARD_LEVEL,18,카페,UNCLASSIFIED,,,,커피전문점 할인
357,300000,CARD_LEVEL,10,영화,UNCLASSIFIED,,,,영화 할인
359,300000,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,GS리테일POP서비스
364,300000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,"임신출산, 보육료/유아학비 등 지원"
364,300000,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,공통서비스
372,300000,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,기타 서비스
382,250000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,카드플레이트 디자인 선택 가능
389,200000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,카드 디자인 선택
392,0,CARD_LEVEL,10,영화,UNCLASSIFIED,,,,"CGV, 무비존, 메가박스 영화할인"
392,0,CARD_LEVEL,25,정비,UNCLASSIFIED,,,,닥터카서비스
392,0,CARD_LEVEL,22,대형마트,UNCLASSIFIED,,,,이마트 맘키즈 서비스
400,0,CARD_LEVEL,26,해외,UNCLASSIFIED,,,,해외이용 안내
402,100000,CARD_LEVEL,26,해외,UNCLASSIFIED,,,,해외이용 안내
403,0,CARD_LEVEL,26,해외,UNCLASSIFIED,,,,해외이용 안내
404,300000,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,출산육아 특별서비스
415,0,CARD_LEVEL,2,모든가맹점,UNCLASSIFIED,,,,당월 이용금액별 X캐시백 제공
422,500000,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,Priority Pass카드 및 특수 소재 플레이트 제공
422,500000,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,"VISA Signature 서비스
MasterCard World 서비스"
434,0,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,"네이비, 오렌지, 화이트 중 원하는 카드 색상 선택"
447,500000,CARD_LEVEL,15,면세점,UNCLASSIFIED,,,,Daily Service
447,500000,CARD_LEVEL,18,카페,UNCLASSIFIED,,,,Daily Service
448,500000,CARD_LEVEL,9,주유소,UNCLASSIFIED,,,,모든 주유소 할인
448,500000,CARD_LEVEL,18,카페,UNCLASSIFIED,,,,"스타벅스, 커피빈 할인"
