issuer_name_raw,card_name,source_url
체크카드,다드림 체크카드,https://www.card-gorilla.com/card/detail/573
체크카드,드림플러스 아시아나 체크카드,https://www.card-gorilla.com/card/detail/574
체크카드,라이프+플러스 체크카드,https://www.card-gorilla.com/card/detail/575
체크카드,young利한(영리한) 체크카드,https://www.card-gorilla.com/card/detail/576
체크카드,행복한 체크카드,https://www.card-gorilla.com/card/detail/585
체크카드,어피치 스윗 체크카드,https://www.card-gorilla.com/card/detail/586
씨티카드,카카오뱅크 씨티카드,https://www.card-gorilla.com/card/detail/593
씨티카드,씨티 프리미어마일 대한항공,https://www.card-gorilla.com/card/detail/604
씨티카드,씨티 프리미어마일 아시아나,https://www.card-gorilla.com/card/detail/605
NH농협카드,펫블리(PETvely) 카드,https://www.card-gorilla.com/card/detail/612
그린카드,[IBK] 그린카드v2,https://www.card-gorilla.com/card/detail/629
그린카드,[NH농협] 그린카드v2,https://www.card-gorilla.com/card/detail/631
그린카드,[DGB대구] 그린카드v2,https://www.card-gorilla.com/card/detail/632
그린카드,[BNK부산] 그린카드v2,https://www.card-gorilla.com/card/detail/633
HAVE카드,올바른 NEW HAVE카드,https://www.card-gorilla.com/card/detail/635
NH농협카드,올바른 NEW HAVE+카드,https://www.card-gorilla.com/card/detail/636
NH농협카드,올바른 MYPICK 카드,https://www.card-gorilla.com/card/detail/654
UNKNOWN,Daily With(데일리위드)카드,https://www.card-gorilla.com/card/detail/655
NH농협카드,올바른 FLEX 카드,https://www.card-gorilla.com/card/detail/666
체크카드,go 캐시백 글로벌 체크카드,https://www.card-gorilla.com/card/detail/668
체크카드,케이뱅크 플러스 체크카드,https://www.card-gorilla.com/card/detail/669
PP카드,BLISS.7 카드(마일리지),https://www.card-gorilla.com/card/detail/671
PP카드,BLISS.7 카드(포인트),https://www.card-gorilla.com/card/detail/672
IBK무민카드,IBK무민카드(체크),https://www.card-gorilla.com/card/detail/674
NH농협카드,Air Money(에어머니)체크,https://www.card-gorilla.com/card/detail/675
NH농협카드,올리 POINT 체크,https://www.card-gorilla.com/card/detail/676
mini카드,카카오뱅크 mini카드,https://www.card-gorilla.com/card/detail/686
IBK무민카드,IBK무민카드(신용),https://www.card-gorilla.com/card/detail/723
체크카드,이지캐시백,https://www.card-gorilla.com/card/detail/748
UNKNOWN,go 캐시백 글로벌 하이브리드,https://www.card-gorilla.com/card/detail/767
UNKNOWN,BLISS.5 카드(마일리지),https://www.card-gorilla.com/card/detail/772
UNKNOWN,BLISS.5 카드(포인트),https://www.card-gorilla.com/card/detail/773
UNKNOWN,IBK hi 카드,https://www.card-gorilla.com/card/detail/781
UNKNOWN,참! 좋은 kt wiz 카드[체크],https://www.card-gorilla.com/card/detail/794
체크카드,일상의 기쁨 Dream 체크카드,https://www.card-gorilla.com/card/detail/807
체크카드,현대백화점 체크카드,https://www.card-gorilla.com/card/detail/810
국민행복카드,국민행복카드 체크카드,https://www.card-gorilla.com/card/detail/812
DGB체크카드,해피포인트 DGB체크카드,https://www.card-gorilla.com/card/detail/814
체크카드,카카오페이 체크카드,https://www.card-gorilla.com/card/detail/819
NEW현대백화점체크카드,NEW현대백화점체크카드,https://www.card-gorilla.com/card/detail/823
국민행복카드,국민행복카드 신용카드,https://www.card-gorilla.com/card/detail/834
대구은행카드,올레 Super DC 대구은행카드,https://www.card-gorilla.com/card/detail/838
설렘카드,일년의 설렘카드(모바일전용),https://www.card-gorilla.com/card/detail/864
