card_id,raw_text
18,"[생활 할인] 커피전문점·잡화·온라인서점 10% 할인
· 주유 60원/L 할인 (전월실적 50만원 이상)"
18,[해외이용 캐시백] 해외이용금액 5% 캐시백 (연간실적 1천만원 이상)
18,"[제휴 할인] 마켓컬리, 프레딧, 집반찬연구소 10% 할인서비스 (전월실적 30만원 이상)"
18,"[추천] 백화점부터 마트·쿠팡… 온라인 쇼핑까지, 이름값 하는 쇼핑할인카드 4종 혜택 비교"
18,2026 이케아 할인 신용카드 추천 & 이케아 패밀리 회원가입 혜택 정리
18,2026 트레이더스 할인카드 추천부터 회원권 꿀팁까지! 트레이더스 갈 때 삼성카드만 챙길 필요 없다?
21,국내외 가맹점 1% 캐시백 · 생활밀착가맹점 0.7% 추가캐시백 · 생활친화가맹점 월 10회 잔돈 할인
21,"국내외 가맹점 1%, 생활밀착 가맹점 추가 0.7% 캐시백"
21,잔돈 할인 서비스(Coin-Save)
21,온라인 영화 예매 할인 (전월실적 30만원 이상)
21,서울랜드 50% 할인 (전월실적 30만원 이상)
21,[추천] 월 300-500만원 이상 쓰는 직장인 & 개인사업자를 위한 포인트 적립 신용카드 BEST 4 _ 2026년 기준 업데이트
26,"교육업종 5~10% 캐시백 · 아파트관리비 5,000원 캐시백 · 생활업종 1% 캐시백"
26,"일반전문학원, 학습지, 유치원 업종 캐시백 (전월실적 50만원 이상)"
26,"아파트 관리비 자동이체 매월 5,000원 캐시백 (전월실적 50만원 이상)"
26,주요 생활업종 이용시 1% 캐시백 (전월실적 50만원 이상)
26,"[추천] 단종카드를 대체할 포인트 적립 NEW 신한카드 4종 (ft.딥드림, 하이포인트 대체카드) _ 2026년 기준 업데이트"
26,"아파트관리비 실적 인정 카드만 모았다, 2026 아파트관리비 할인카드 추천 BEST 4"
28,신세계백화점 5% 할인 · Life Care가맹점 5% 할인 · 해외 5% 캐시백
28,신세계백화점 5% 결제일 할인
28,Life Care가맹점 5% 결제일 할인
28,"롯데월드, 서울랜드 자유이용권 50% 할인"
28,해외 매출 5% 캐시백
35,"GS칼텍스 60~100원/L 할인 · 버스/지하철/택시 3~7% 할인 · 맥스무비 등 1,500원 할인"
35,GS칼텍스 주유 시 리터당 60~100원 할인
35,"버스, 지하철, 택시 3~7% 할인"
35,"맥스무비, 인터파크, YES24 예매 시 할인"
35,주요 놀이공원 할인 서비스
36,선택서비스 5% 할인 · 1천원미만의 잔돈 할인 · 모든주유소 60원/L 할인
36,"Cube 선택서비스 - 선택서비스 5개, 5% 할인"
36,할인
36,Coin-Save(잔돈할인) 서비스 - 잔돈은 할인
36,[2020 소비 트렌드] 국내 할인 한도 1위 '10만 원'에 주목하라
37,"캐시백형 1% 캐시백 · 대한항공형 1,500원/1마일 적립 · 기프트옵션 1회/연 제공"
37,"캐시백(캐시백형 선택 시)
마일리지 적립(마일리지 적립형 선택 시)"
37,JEJU 할인
37,커피 할인
37,베이커리 할인
37,쇼핑 할인
37,생활 할인
38,학원/학습지/독서실 5% 할인 · 체험/활동학습 5% 할인 · 서적 5% 할인
38,자녀교육에 필요한 가맹점에서 5% 할인
38,자녀 감성발달에 필요한 가맹점에서 5% 할인
38,자녀 도서 구매에도 5% 할인
38,COIN-SAVE 잔돈 할인
38,"독서의 계절! 책벌레를 위한 ‘서점 할인카드’ PICK 5 (오프라인, 인터넷 서점 할인/적립)"
38,학원비할인카드 TOP5
39,4개정유사 10% 할인 · 차량서비스 10% 할인 · 편의점/커피/택시 5% 할인
39,4개의 정유사 중 직접 고른 1개 정유사 주유 이용금액 10% 결제일 할인 (전월실적 30만원 이상)
39,"정비소(스피드메이트), 주차장 이용금액 10% 결제일 할인 (전월실적 30만원 이상)"
39,"GS25, CU 5% 결제일 할인 (전월실적 30만원 이상)"
39,"스타벅스, 이디야 5% 결제일 할인 (전월실적 30만원 이상)"
39,택시 5% 결제일 할인 (전월실적 30만원 이상)
39,롯데시네마 일반관 5천원 현장 할인 (전월실적 30만원 이상)
39,혜택 좋은 주유할인카드 21종 전격 비교 추천! (주유비 할인카드 혜택 정리) _ 2026년 기준 업데이트
41,국내 온라인 10% 할인 · 4대 편의점 20% 할인 · 항공권 10% 할인
41,"국내 온라인 이용 건, 온라인 배달/온라인 슈퍼 10% 할인 (전월실적 30만원 이상)"
41,"4대 편의점, 생활/잡화, 커피, 월납 20% 할인 (전월실적 30만원 이상)"
41,"제주항공, 에어부산 10% 할인 (전월실적 30만원 이상)"
41,"신한카드 Deep On Platinum+, 온라인 간편결제로 할인 받는 숨겨진 상테크 신용카드"
41,2026 제주항공 J멤버스 회원등급 개편 총정리 & 항공권 할인카드 추천
42,SOCAR 30% 할인 · KTX/SRT 10% 할인 · 커피전문점 20% 할인
42,SOCAR 결제 시 30% 결제일 할인
42,"KTX, SRT 포함 철도 이용 시 10% 결제일 할인"
42,커피전문점 20% 결제일 할인
42,"GS25, CU, 세븐일레븐 편의점 5% 결제일 할인"
42,"홈플러스, 이마트, 롯데마트 3대 할인점 3% 결제일 할인"
42,국내여행용 특화카드 갑 오브 갑! 쏘카 65% 할인 실화인가
43,생활쇼핑가맹점 ~15% 할인 · 커피전문점/제과점 10% 할인 · 복합쇼핑몰/마트 10% 주말할인
43,생활쇼핑 최대 15% 결제일 할인
43,커피전문점/제과점 업종 10% 결제일 할인
43,주말 복합쇼핑몰 10% 결제일 할인
43,주말 3대 할인점 10% 결제일 할인
43,"주말 롯데시네마 현장 예매 시 5,000원 결제일 할인"
43,"신한카드 Deep Store, 장바구니 물가 상승을 막아줄 쇼핑할인카드"
43,"추석 장바구니 물가 비상! 명절 장보기 두려울 땐, 이 카드가 정답!(ft.대형마트, 백화점 할인카드)"
43,2026 트레이더스 할인카드 추천부터 회원권 꿀팁까지! 트레이더스 갈 때 삼성카드만 챙길 필요 없다?
43,현대카드ZERO Edition2(할인형)
45,해외 5% 적립 · 교통·통신 5% 적립 · 편의점·배달앱 7% 적립
45,편의점·배달앱 7% 멤버십리워즈 적립
45,스트리밍서비스 20% 결제일 할인
45,스타벅스·이디야 20% 결제일 할인
45,교통·통신 5% 멤버십리워즈 적립
45,쇼핑 1.5% 멤버십리워즈 적립
45,해외 5% 멤버십리워즈 적립
45,해외직구로 탈모·화장품·영양제까지 스스로 관리한다? (ft.해외직구 할인카드)
45,현대카드ZERO Edition2(할인형)
46,국내외 가맹점 최대 0.4% 포인트 적립 · 모든 주유소 30원·60원 리터당 할인 · CGV 동반 1인 50% 할인
46,국내외 모든 가맹점에서 0.2%·0.4% 주유포인트 적립
46,전국 주유소 리터당 60원 결제일할인(청구할인) (LPG 30원)
46,CGV 동반 1인 50% 할인
46,"스타벅스 1,000원 할인"
49,삼성카드 & MILEAGE PLATINUM (스카이패스) · 삼성카드 · 최대 119만원 캐시백
49,"1,000원당 1마일 기본적립 · 국내/해외 택1 옵션형 1마일 특별적립 · 인천공항 라운지 무료이용"
49,"국내외 가맹점 이용금액 1,000원당 1마일리지 기본적립"
