카드사,카드명,카드유형,연회비,전월실적조건,상세페이지
삼성카드,THE 1 (스카이패스),신용,25만원,없음,/cards/samsung-the-1-skypass/
삼성카드,THE iD. 1st,신용,15만원,없음,/cards/samsung-the-id-1st/
삼성카드,토스 삼성카드,신용,1.5만원,없음,/cards/samsung-toss/
삼성카드,U+ 라이트 삼성카드,신용,2.5만원,없음,/cards/samsung-u-plus/
삼성카드,우리동네GS 삼성카드,신용,1.5만원,없음,/cards/samsung-uri-gs/
삼성카드,W컨셉 삼성카드,신용,1만원,없음,/cards/samsung-w-concept/
신한카드,신한카드 핏(Fit),신용,1.5만원,40만원,/cards/shinhan-fit/
신한카드,신한카드 Kapick 통신할인,신용,2만원,40만원,/cards/shinhan-kapick-telecom/
신한카드,LGE.COM 신한카드,신용,2.5만원,50만원,/cards/shinhan-lge-com/
신한카드,신한카드 Mr.Life,신용,1.5만원,30만원,/cards/shinhan-mr-life/
신한카드,Npay biz 신한카드,신용,1.7만원,50만원,/cards/shinhan-npay-biz/
신한카드,신한카드 O2O,신용,1만원,50만원,/cards/shinhan-o2o/
신한카드,신한카드 Pick E 체크,체크,없음,20만원,/cards/shinhan-pick-e-check/
신한카드,신한카드 Pick I 체크,체크,없음,20만원,/cards/shinhan-pick-i-check/
신한카드,신한카드 Point Plan,신용,2만원,40만원,/cards/shinhan-point-plan/
신한카드,SK인텔릭스 신한카드,신용,2.5만원,30만원,/cards/shinhan-sk-intelics/
신한카드,S-OIL LPG 화물복지 신한카드,신용,없음,없음,/cards/shinhan-soil-lpg/
우리카드,우리카드 카드의정석2,신용,2.2만원,50만원,/cards/woori-card-jeongseok-2/
우리카드,우리카드 카드의정석 POINT,신용,1만원,30만원,/cards/woori-card-jeongseok-point/
우리카드,우리카드 카드의정석 POINT II,신용,1만원,30만원,/cards/woori-card-jeongseok-point2/
우리카드,우리카드 카드의정석 UniMile 체크,체크,없음,30만원,/cards/woori-card-jeongseok-unimile-check/
우리카드,우리카드 카드의정석 WOWRI,신용,1만원,30만원,/cards/woori-card-jeongseok-wowri/
