group_id,group_name
1,쇼핑
2,모든가맹점
3,주유
4,금융
5,통신
6,기타
7,백화점
8,패밀리레스토랑
9,주유소
10,영화
11,테마파크
12,푸드
13,선택형
14,생활
15,면세점
16,프리미엄
17,대중교통
18,카페
19,편의점
20,항공마일리지
21,온라인쇼핑
22,대형마트
23,바우처
24,마트/편의점
25,정비
26,해외
27,교통
28,프리미엄 서비스
29,여행/숙박
30,렌터카
31,카페/디저트
32,해외이용
33,무이자할부
34,병원
35,골프
36,약국
37,교육
38,외식
