card_type,category_main,card_name,source_url,raw_text_snippet
CREDIT,쇼핑,신세계 신한카드,https://www.card-gorilla.com/card/detail/28,"신세계 신한카드 | |신세계 신한카드|신세계 신한카드 · 신한카드|신세계백화점 5% 할인 · Life Care가맹점 5% 할인 · 해외 5% 캐시백|해외겸용 [12,000]원 · 50만원 이상 · Mastercard · UnionPay|백화점|신세계백화점 5% 결제일 할인|생활|Life Care가맹점 5% 결제일 할인|테마파크|롯데월드, 서울랜드 자유이용권"
CREDIT,교통자동차,GS칼텍스 신한카드 Shine,https://www.card-gorilla.com/card/detail/35,"GS칼텍스 신한카드 Shine | |GS칼텍스 신한카드 Shine|GS칼텍스 신한카드 Shine · 신한카드|GS칼텍스 60~100원/L 할인 · 버스/지하철/택시 3~7% 할인 · 맥스무비 등 1,500원 할인|해외겸용 [7,000]원 · 20만원 이상 · VISA · Mastercard|주유|GS칼텍스 주유 시 리터당 60~100원 할인|교통|버스, 지"
CREDIT,교통자동차,신한카드 Cube Platinum#,https://www.card-gorilla.com/card/detail/36,"신한카드 Cube Platinum# | |신한카드 Cube Platinum#|신한카드 Cube Platinum# · 신한카드|선택서비스 5% 할인 · 1천원미만의 잔돈 할인 · 모든주유소 60원/L 할인|해외겸용 [32,000]원 · 30만원 이상 · VISA · Mastercard · AMEX|선택형|Cube 선택서비스 - 선택서비스 5개, 5% 할인|할"
CREDIT,여행항공,신한카드 The BEST-F,https://www.card-gorilla.com/card/detail/37,"신한카드 The BEST-F | |신한카드 The BEST-F|신한카드 The BEST-F · 신한카드|캐시백형 1% 캐시백 · 대한항공형 1,500원/1마일 적립 · 기프트옵션 1회/연 제공|해외겸용 [202,000]원 · 30만원 이상 · VISA|바우처|Gift Option Service|선택형|캐시백(캐시백형 선택 시)
마일리지 적립(마일리지 적립형"
CREDIT,생활,신한카드 Lesson Platinum#,https://www.card-gorilla.com/card/detail/38,"신한카드 Lesson Platinum# | |신한카드 Lesson Platinum#|신한카드 Lesson Platinum# · 신한카드|학원/학습지/독서실 5% 할인 · 체험/활동학습 5% 할인 · 서적 5% 할인|해외겸용 [27,000]원 · 30만원 이상 · AMEX|학원|자녀교육에 필요한 가맹점에서 5% 할인|문화센터|자녀 감성발달에 필요한 가맹점에서"
CREDIT,교통자동차,신한카드 Deep Oil,https://www.card-gorilla.com/card/detail/39,"신한카드 Deep Oil | |신한카드 Deep Oil|신한카드 Deep Oil · 신한카드 · 최대 73만원 혜택|4개정유사 10% 할인 · 차량서비스 10% 할인 · 편의점/커피/택시 5% 할인|해외겸용 [10,000]원 · 30만원 이상 · Mastercard|주유|4개의 정유사 중 직접 고른 1개 정유사 주유 이용금액 10% 결제일 할인 (전월실적 "
CHECK,여행항공,신한카드 Deep On Platinum+,https://www.card-gorilla.com/card/detail/41,"신한카드 Deep On Platinum+ | |신한카드 Deep On Platinum+|신한카드 Deep On Platinum+ · 신한카드|국내 온라인 10% 할인 · 4대 편의점 20% 할인 · 항공권 10% 할인|국내전용 30,000원 / 해외겸용 33,000원 · 30만원 이상 · Mastercard · UnionPay|간편결제|국내 온라인 이용 건"
CREDIT,쇼핑,SOCAR 제휴 SOCAR 신한카드,https://www.card-gorilla.com/card/detail/42,"SOCAR 제휴 SOCAR 신한카드 | |SOCAR 제휴 SOCAR 신한카드|SOCAR 제휴 SOCAR 신한카드 · 신한카드|SOCAR 30% 할인 · KTX/SRT 10% 할인 · 커피전문점 20% 할인|해외겸용 [13,000]원 · 30만원 이상 · VISA|렌터카|SOCAR 결제 시 30% 결제일 할인|기차|KTX, SRT 포함 철도 이용 시 10% "
CREDIT,쇼핑,신한카드 Deep Store,https://www.card-gorilla.com/card/detail/43,"신한카드 Deep Store | |신한카드 Deep Store|신한카드 Deep Store · 신한카드|생활쇼핑가맹점 ~15% 할인 · 커피전문점/제과점 10% 할인 · 복합쇼핑몰/마트 10% 주말할인|해외겸용 [13,000]원 · 30만원 이상 · Mastercard|쇼핑|생활쇼핑 최대 15% 결제일 할인|카페/디저트|커피전문점/제과점 업종 10% 결제일"
CREDIT,외식카페,American Express Blue,https://www.card-gorilla.com/card/detail/45,"American Express Blue | |American Express Blue|American Express Blue · 삼성카드|해외 5% 적립 · 교통·통신 5% 적립 · 편의점·배달앱 7% 적립|해외겸용 [15,000]원 · 30만원 이상 · AMEX|생활|편의점·배달앱 7% 멤버십리워즈 적립|디지털구독|스트리밍서비스 20% 결제일 할인|카페|스"
CREDIT,외식카페,삼성카앤모아카드,https://www.card-gorilla.com/card/detail/46,"삼성카앤모아카드 | |삼성카앤모아카드|삼성카앤모아카드 · 삼성카드|국내외 가맹점 최대 0.4% 포인트 적립 · 모든 주유소 30원·60원 리터당 할인 · CGV 동반 1인 50% 할인|국내전용 [8,000]원 / 해외겸용 [10,000]원 · 30만원 이상 · Mastercard|주유|국내외 모든 가맹점에서 0.2%·0.4% 주유포인트 적립|주유|전국 주유"
CREDIT,여행항공,삼성카드 & MILEAGE PLATINUM (스카이패스),https://www.card-gorilla.com/card/detail/49,"삼성카드 & MILEAGE PLATINUM (스카이패스) | |삼성카드 & MILEAGE PLATINUM (스카이패스)|삼성카드 & MILEAGE PLATINUM (스카이패스) · 삼성카드 · 최대 119만원 캐시백|1,000원당 1마일 기본적립 · 국내/해외 택1 옵션형 1마일 특별적립 · 인천공항 라운지 무료이용|국내전용 [47,000]원 / 해외겸용 "
CREDIT,문화여가,아시아나 삼성지엔미플래티늄카드,https://www.card-gorilla.com/card/detail/50,"아시아나 삼성지엔미플래티늄카드 | |아시아나 삼성지엔미플래티늄카드|아시아나 삼성지엔미플래티늄카드 · 삼성카드|1,000원당 1~5마일 적립 · S-OIL주유소 40/L 적립 · CGV 3,000원 할인|해외전용 [20,000]원 · 30만원 이상 · Mastercard|아시아나항공|1,000원당 아시아나 1마일리지 적립|주유소|S-OIL 리터당 40 보너스"
CREDIT,문화여가,삼성카드 taptap O,https://www.card-gorilla.com/card/detail/51,"삼성카드 taptap O | |삼성카드 taptap O|삼성카드 taptap O · 삼성카드 · 최대 22.7만원 혜택|스타벅스 50% 할인 · 대중교통 10% 할인 · CGV, 롯데시네마 5,000원 할인|국내전용 [10,000]원 / 해외겸용 [10,000]원 · 30만원 이상 · Mastercard|선택형|라이프스타일 패키지 선택|대중교통|대중교통·택"
CREDIT,문화여가,삼성카드 taptap S,https://www.card-gorilla.com/card/detail/52,"삼성카드 taptap S | |삼성카드 taptap S|삼성카드 taptap S · 삼성카드|모든가맹점 1% 적립 · 모든주유소 2,000원 할인 · 모든영화관 5,000원 할인|국내전용 [10,000]원 / 해외겸용 [10,000]원 · 50만원 이상 · Mastercard|모든가맹점|모든 가맹점 1% 빅포인트 적립|주유|모든 주유소 및 LPG 충전소 2"
CREDIT,문화여가,아시아나 삼성애니패스플래티늄카드,https://www.card-gorilla.com/card/detail/53,"아시아나 삼성애니패스플래티늄카드 | |아시아나 삼성애니패스플래티늄카드|아시아나 삼성애니패스플래티늄카드 · 삼성카드|1,000원당 1~5마일 적립 · 놀이공원 50% 할인 · 엔진오일교환 15,000원 할인|해외전용 [20,000]원 · 30만원 이상 · Mastercard|아시아나항공|이용금액 1,000원당 아시아나 1~5마일리지 적립|주유소|S-OIL 주"
CREDIT,여행항공,삼성카드 스페셜마일리지(스카이패스),https://www.card-gorilla.com/card/detail/54,"삼성카드 스페셜마일리지(스카이패스) | |삼성카드 스페셜마일리지(스카이패스)|삼성카드 스페셜마일리지(스카이패스) · 삼성카드|1,000원당 스카이패스 1마일리지 기본적립 · 아웃백스테이크하우스 30,000원 결제일할인 · 1,000원당 스카이패스 1마일리지 추가적립|국내전용 [97,000]원 / 해외겸용 [99,000]원 · 없음 · AMEX|대한항공|[기"
CREDIT,쇼핑,CU·배달의민족 삼성카드 taptap,https://www.card-gorilla.com/card/detail/55,"CU·배달의민족 삼성카드 taptap | |CU·배달의민족 삼성카드 taptap|CU·배달의민족 삼성카드 taptap · 삼성카드|CU 1,500원당 200원 할인 · 배달의민족 2,000원 할인 · 대중교통 1,000원당 100원 할인|국내전용 [10,000]원 / 해외겸용 [10,000]원 · 30만원 이상 · Mastercard|편의점|CU 1,500"
CREDIT,생활,삼성카드 지엔미+,https://www.card-gorilla.com/card/detail/56,"삼성카드 지엔미+ | |삼성카드 지엔미+|삼성카드 지엔미+ · 삼성카드|교육/할인점 1.5% 할인 · 모든영화관 10,000원 할인 · VIPS/계절밥상 20,000원 할인|해외전용 [49,000]원 · 50만원 이상 · Mastercard · UnionPay|카페|커피전문점 10% 결제일할인|영화|모든 영화관 5,000원 결제일할인|패밀리레스토랑|VIPS"
CREDIT,교통자동차,삼성카드 애니패스+,https://www.card-gorilla.com/card/detail/57,"삼성카드 애니패스+ | |삼성카드 애니패스+|삼성카드 애니패스+ · 삼성카드|영화 5,000원 할인 · 카페 10% 할인 · VIPS, 계절밥상 20,000원 할인|해외전용 [49,000]원 · 50만원 이상 · Mastercard · UnionPay|영화|모든 영화관 5,000원 결제일할인|카페|커피전문점 10% 결제일할인|푸드|VIPS·계절밥상 20,0"
