source_id,card_name,issuer_name_raw,source_url
96,씨티 리워드,씨티카드,https://www.card-gorilla.com/card/detail/96
100,씨티 NEW 캐시백,씨티카드,https://www.card-gorilla.com/card/detail/100
101,NEW 씨티 클리어,씨티카드,https://www.card-gorilla.com/card/detail/101
102,씨티 NEW 프리미어마일 대한항공,씨티카드,https://www.card-gorilla.com/card/detail/102
103,씨티 NEW 프리미어마일 아시아나,씨티카드,https://www.card-gorilla.com/card/detail/103
158,스카이패스카드,스카이패스카드,https://www.card-gorilla.com/card/detail/158
161,NC다이노스카드,NC다이노스카드,https://www.card-gorilla.com/card/detail/161
172,NH올원카드,NH올원카드,https://www.card-gorilla.com/card/detail/172
173,NH올원+(플러스)카드,NH농협카드,https://www.card-gorilla.com/card/detail/173
177,NH올원 All100(올백)카드,NH농협카드,https://www.card-gorilla.com/card/detail/177
179,NH올원 Shopping&11번가카드(R2타입),번가카드,https://www.card-gorilla.com/card/detail/179
180,위카드,위카드,https://www.card-gorilla.com/card/detail/180
181,NH올원 파이카드,파이카드,https://www.card-gorilla.com/card/detail/181
182,SolSol++(쏠쏠투플러스)카드,NH농협카드,https://www.card-gorilla.com/card/detail/182
183,SolSol(쏠쏠)카드,NH농협카드,https://www.card-gorilla.com/card/detail/183
184,NH20해봄카드,해봄카드,https://www.card-gorilla.com/card/detail/184
188,올바른OIL카드,올바른OIL카드,https://www.card-gorilla.com/card/detail/188
189,올바른TRAVEL카드(일본특화),올바른TRAVEL카드,https://www.card-gorilla.com/card/detail/189
190,올바른TRAVEL카드(중국특화),올바른TRAVEL카드,https://www.card-gorilla.com/card/detail/190
258,Oil & Life카드(Oil카드),Life카드,https://www.card-gorilla.com/card/detail/258
259,Oil & Life카드(Life카드),Life카드,https://www.card-gorilla.com/card/detail/259
260,국민행복카드(신용),국민행복카드,https://www.card-gorilla.com/card/detail/260
263,참! 좋은 kt wiz 카드(신용),UNKNOWN,https://www.card-gorilla.com/card/detail/263
264,olleh Super DC IBK카드,IBK카드,https://www.card-gorilla.com/card/detail/264
266,일상의 기쁨카드(신용),기쁨카드,https://www.card-gorilla.com/card/detail/266
267,마일앤조이카드(대한항공),마일앤조이카드,https://www.card-gorilla.com/card/detail/267
268,마일앤조이카드(아시아나),마일앤조이카드,https://www.card-gorilla.com/card/detail/268
269,IBK-Hybrid(하이브리드)카드,UNKNOWN,https://www.card-gorilla.com/card/detail/269
271,일년의 설렘카드,설렘카드,https://www.card-gorilla.com/card/detail/271
273,참! 좋은 다이소카드(신용),다이소카드,https://www.card-gorilla.com/card/detail/273
274,쇼핑앤조이 카드,할인카드,https://www.card-gorilla.com/card/detail/274
275,제주항공 Refresh Point 카드,UNKNOWN,https://www.card-gorilla.com/card/detail/275
276,플러스마일카드,플러스마일카드,https://www.card-gorilla.com/card/detail/276
277,시그마카드,시그마카드,https://www.card-gorilla.com/card/detail/277
360,올바른POINT체크카드,올바른POINT체크카드,https://www.card-gorilla.com/card/detail/360
361,콕체크카드,콕체크카드,https://www.card-gorilla.com/card/detail/361
362,NH20해봄체크카드,해봄체크카드,https://www.card-gorilla.com/card/detail/362
365,DC줌체크카드(비씨),DC줌체크카드,https://www.card-gorilla.com/card/detail/365
367,내일배움체크카드,내일배움체크카드,https://www.card-gorilla.com/card/detail/367
368,NH올원체크카드,NH올원체크카드,https://www.card-gorilla.com/card/detail/368
370,BAZIC(베이직)체크카드,체크카드,https://www.card-gorilla.com/card/detail/370
375,올바른GLOBAL체크카드,올바른GLOBAL체크카드,https://www.card-gorilla.com/card/detail/375
405,에이스플러스체크카드(미키90주년),에이스플러스체크카드,https://www.card-gorilla.com/card/detail/405
435,카카오뱅크 프렌즈 체크카드,체크카드,https://www.card-gorilla.com/card/detail/435
436,케이뱅크 X KT멤버십더블혜택 체크카드,체크카드,https://www.card-gorilla.com/card/detail/436
437,케이뱅크X네이버페이 체크카드2,체크카드,https://www.card-gorilla.com/card/detail/437
438,케이뱅크 체크카드 포인트적립형,체크카드,https://www.card-gorilla.com/card/detail/438
441,일상의 기쁨카드(체크),기쁨카드,https://www.card-gorilla.com/card/detail/441
442,IBK 국민행복 체크카드,체크카드,https://www.card-gorilla.com/card/detail/442
446,IBK 나라사랑카드,나라사랑카드,https://www.card-gorilla.com/card/detail/446
463,신세계 씨티 클리어 카드,씨티카드,https://www.card-gorilla.com/card/detail/463
475,ONE AIR(UniMile),UNKNOWN,https://www.card-gorilla.com/card/detail/475
483,뉴타임카드,뉴타임카드,https://www.card-gorilla.com/card/detail/483
497,NEW농촌사랑체크카드,NEW농촌사랑체크카드,https://www.card-gorilla.com/card/detail/497
499,체크카드,체크카드,https://www.card-gorilla.com/card/detail/499
503,씨티 메가마일 스카이패스,씨티카드,https://www.card-gorilla.com/card/detail/503
504,씨티 메가마일 아시아나,씨티카드,https://www.card-gorilla.com/card/detail/504
505,적립조아카드,적립조아카드,https://www.card-gorilla.com/card/detail/505
506,할인조아카드,할인조아카드,https://www.card-gorilla.com/card/detail/506
512,올바른 POINT UP 카드,NH농협카드,https://www.card-gorilla.com/card/detail/512
513,올바른 POINT UP+ 카드,NH농협카드,https://www.card-gorilla.com/card/detail/513
514,올바른 BAZIC 카드,NH농협카드,https://www.card-gorilla.com/card/detail/514
526,NH농협 올바른LIFE카드(할인형),올바른LIFE카드,https://www.card-gorilla.com/card/detail/526
527,NH농협 올바른LIFE카드(적립형),올바른LIFE카드,https://www.card-gorilla.com/card/detail/527
528,라이언 치즈 체크카드,체크카드,https://www.card-gorilla.com/card/detail/528
530,LCC UniMile카드,UniMile카드,https://www.card-gorilla.com/card/detail/530
531,NH농협 올바른 하나로(Hanaro) 카드,NH농협카드,https://www.card-gorilla.com/card/detail/531
532,NH농협 올바른 하나로(Hanaro) 체크카드,체크카드,https://www.card-gorilla.com/card/detail/532
550,에이스플러스체크카드 (벨리미키),에이스플러스체크카드,https://www.card-gorilla.com/card/detail/550
560,위 레아카드(아시아나클럽),레아카드,https://www.card-gorilla.com/card/detail/560
562,올바른 GIVE 카드,NH농협카드,https://www.card-gorilla.com/card/detail/562
563,위 레아카드(스카이패스),레아카드,https://www.card-gorilla.com/card/detail/563
564,위 레아카드(포인트),레아카드,https://www.card-gorilla.com/card/detail/564
565,위 테라카드(스카이패스),테라카드,https://www.card-gorilla.com/card/detail/565
566,위 테라카드(아시아나클럽),테라카드,https://www.card-gorilla.com/card/detail/566
567,위 테라카드(포인트),테라카드,https://www.card-gorilla.com/card/detail/567
571,어디서나 체크카드,체크카드,https://www.card-gorilla.com/card/detail/571
572,포미 하이브리드 체크카드,체크카드,https://www.card-gorilla.com/card/detail/572
573,다드림 체크카드,체크카드,https://www.card-gorilla.com/card/detail/573
574,드림플러스 아시아나 체크카드,체크카드,https://www.card-gorilla.com/card/detail/574
575,라이프+플러스 체크카드,체크카드,https://www.card-gorilla.com/card/detail/575
576,young利한(영리한) 체크카드,체크카드,https://www.card-gorilla.com/card/detail/576
585,행복한 체크카드,체크카드,https://www.card-gorilla.com/card/detail/585
586,어피치 스윗 체크카드,체크카드,https://www.card-gorilla.com/card/detail/586
593,카카오뱅크 씨티카드,씨티카드,https://www.card-gorilla.com/card/detail/593
604,씨티 프리미어마일 대한항공,씨티카드,https://www.card-gorilla.com/card/detail/604
605,씨티 프리미어마일 아시아나,씨티카드,https://www.card-gorilla.com/card/detail/605
612,펫블리(PETvely) 카드,NH농협카드,https://www.card-gorilla.com/card/detail/612
629,[IBK] 그린카드v2,그린카드,https://www.card-gorilla.com/card/detail/629
631,[NH농협] 그린카드v2,그린카드,https://www.card-gorilla.com/card/detail/631
632,[DGB대구] 그린카드v2,그린카드,https://www.card-gorilla.com/card/detail/632
633,[BNK부산] 그린카드v2,그린카드,https://www.card-gorilla.com/card/detail/633
635,올바른 NEW HAVE카드,HAVE카드,https://www.card-gorilla.com/card/detail/635
636,올바른 NEW HAVE+카드,NH농협카드,https://www.card-gorilla.com/card/detail/636
654,올바른 MYPICK 카드,NH농협카드,https://www.card-gorilla.com/card/detail/654
655,Daily With(데일리위드)카드,UNKNOWN,https://www.card-gorilla.com/card/detail/655
666,올바른 FLEX 카드,NH농협카드,https://www.card-gorilla.com/card/detail/666
668,go 캐시백 글로벌 체크카드,체크카드,https://www.card-gorilla.com/card/detail/668
669,케이뱅크 플러스 체크카드,체크카드,https://www.card-gorilla.com/card/detail/669
671,BLISS.7 카드(마일리지),PP카드,https://www.card-gorilla.com/card/detail/671
672,BLISS.7 카드(포인트),PP카드,https://www.card-gorilla.com/card/detail/672
674,IBK무민카드(체크),IBK무민카드,https://www.card-gorilla.com/card/detail/674
