source_url,condition_id,condition_order,min_amount,period_type,is_new
https://www.card-gorilla.com/card/detail/18,12,1,500000,MONTHLY,False
https://www.card-gorilla.com/card/detail/18,1248,2,10000000,YEARLY,True
https://www.card-gorilla.com/card/detail/18,1249,3,300000,MONTHLY,True
https://www.card-gorilla.com/card/detail/106,60,1,300000,MONTHLY,False
https://www.card-gorilla.com/card/detail/106,1250,2,600000,MONTHLY,True
https://www.card-gorilla.com/card/detail/106,1251,3,1200000,MONTHLY,True
https://www.card-gorilla.com/card/detail/115,67,1,300000,MONTHLY,False
https://www.card-gorilla.com/card/detail/115,1252,2,600000,MONTHLY,True
https://www.card-gorilla.com/card/detail/115,1253,3,1200000,MONTHLY,True
https://www.card-gorilla.com/card/detail/769,437,1,0,MONTHLY,False
https://www.card-gorilla.com/card/detail/769,1254,2,300000,MONTHLY,True
https://www.card-gorilla.com/card/detail/945,470,1,0,MONTHLY,False
https://www.card-gorilla.com/card/detail/945,1255,2,500000,MONTHLY,True
https://www.card-gorilla.com/card/detail/1006,478,1,500000,MONTHLY,False
https://www.card-gorilla.com/card/detail/1006,1256,2,300000,MONTHLY,True
https://www.card-gorilla.com/card/detail/2371,776,1,0,MONTHLY,False
https://www.card-gorilla.com/card/detail/2371,1257,2,400000,MONTHLY,True
https://www.card-gorilla.com/card/detail/2532,891,1,0,MONTHLY,False
https://www.card-gorilla.com/card/detail/2532,1258,2,300000,MONTHLY,True
https://www.card-gorilla.com/card/detail/2666,984,1,0,MONTHLY,False
https://www.card-gorilla.com/card/detail/2666,1259,2,400000,MONTHLY,True
https://www.card-gorilla.com/card/detail/2735,1042,1,500000,MONTHLY,False
https://www.card-gorilla.com/card/detail/2735,1260,2,300000,MONTHLY,True
https://www.card-gorilla.com/card/detail/2835,1115,1,400000,MONTHLY,False
https://www.card-gorilla.com/card/detail/2835,1261,2,300000,MONTHLY,True
https://www.card-gorilla.com/card/detail/2938,1196,1,500000,MONTHLY,False
https://www.card-gorilla.com/card/detail/2938,1262,2,1000000,MONTHLY,True
https://www.card-gorilla.com/card/detail/2939,1197,1,500000,MONTHLY,False
https://www.card-gorilla.com/card/detail/2939,1263,2,1000000,MONTHLY,True
https://www.card-gorilla.com/card/detail/2940,1198,1,500000,MONTHLY,False
https://www.card-gorilla.com/card/detail/2940,1264,2,1000000,MONTHLY,True
https://www.card-gorilla.com/card/detail/2944,1201,1,500000,MONTHLY,False
https://www.card-gorilla.com/card/detail/2944,1265,2,1000000,MONTHLY,True
https://www.card-gorilla.com/card/detail/2972,1222,1,0,MONTHLY,False
https://www.card-gorilla.com/card/detail/2972,1266,2,300000,MONTHLY,True
https://www.card-gorilla.com/card/detail/2973,1223,1,0,MONTHLY,False
https://www.card-gorilla.com/card/detail/2973,1267,2,300000,MONTHLY,True
https://www.card-gorilla.com/card/detail/2982,1231,1,0,MONTHLY,False
https://www.card-gorilla.com/card/detail/2982,1268,2,300000,MONTHLY,True
https://www.card-gorilla.com/card/detail/2983,1232,1,0,MONTHLY,False
https://www.card-gorilla.com/card/detail/2983,1269,2,300000,MONTHLY,True
https://www.card-gorilla.com/card/detail/2986,1235,1,0,MONTHLY,False
https://www.card-gorilla.com/card/detail/2986,1270,2,500000,MONTHLY,True
