source_url,condition_id,group_name,raw_text,original_category,new_category,action
https://www.card-gorilla.com/card/detail/8,4,선택형,Gift Option Service - 매년 1회 옵션 품목 중 한 가지를 선택하여 이용,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/8,4,프리미엄,국제브랜드사 서비스 공통사항 안내,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/10,5,영화,"CGV, 메가박스",기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/12,7,프리미엄,특급 호텔 발렛파킹/면세점 우대 서비스 (전월실적 30만원 이상),기타,무료서비스,RECLASSIFIED
https://www.card-gorilla.com/card/detail/14,9,카페,"스타벅스, 커피빈",기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/14,9,편의점,"GS25, 세븐일레븐, CU",기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/14,9,소셜커머스,소셜커머스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/14,9,택시,택시,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/14,9,베이커리,"파리바게트, 뚜레쥬르",기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/14,9,영화,"CGV, 롯데시네마",기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/14,9,카페,스타벅스 모바일쿠폰 보너스 리워드 (분기별 실적 250만원 이상),기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/15,10,바우처,Gift Option,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/16,11,프리미엄,Platinum # 서비스(전월실적 30만원 이상),기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/21,13,프리미엄,Platinum# 서비스 및 국제브랜드사 서비스 (전월실적 30만원 이상),기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/36,17,프리미엄 서비스,Platinum# 서비스 및 국제브랜드사 서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/36,17,[2020 소비 트렌드] 국내 할인 한도 1위 '10만 원'에 주목하라,신한카드 Mr.Life,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/37,18,바우처,Gift Option Service,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/38,19,프리미엄,Platinum# 서비스 및 국제브랜드사 서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/49,26,공항,공항 커피 서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/49,26,프리미엄 서비스,아멕스 PLATINUM 등급 서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/50,27,정비,닥터카서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/50,27,경기관람,프로스포츠 프로모션 서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/51,28,선택형,라이프스타일 패키지 선택,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/54,31,프리미엄 서비스,아멕스 PLATINUM 등급 서비스 [전월 실적 30만원 이상],기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/56,33,정비,닥터카 서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/56,33,프리미엄,브랜드사 서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/57,34,프리미엄,MASTER/UnionPay 서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/58,35,프리미엄,(해외겸용카드 전용) MASTER PLATINUM 등급 서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/59,36,선택형,라이프스타일 패키지(옵션 패키지 중 택1),기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/59,36,프리미엄,mastercard PLATINUM 등급 서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/61,37,프리미엄,American Express Selects 서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/62,38,수수료우대,국제브랜드수수료 면제,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/64,40,쇼핑,신세계백화점·이마트 제휴 혜택,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/72,41,백화점,신세계백화점 제휴 서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/73,42,금융,우리은행 수수료 면제서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/77,44,여행/숙박,프리미엄 투어 서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/77,44,멤버십포인트,위비멤버스 서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/80,45,기타,"카드 ""Touching"" 서비스 안내",기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/80,45,해외,해외이용 시 이용수수료 면제,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/85,50,금융,Two-in-One 결제서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/86,51,금융,Two-in-One 결제서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/91,56,프리미엄,프리미엄 투어 서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/92,57,프리미엄,프리미엄 투어 서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/93,58,프리미엄,프리미엄 투어 서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
