source_url,brand_name
https://www.card-gorilla.com/card/detail/115,Mastercard
https://www.card-gorilla.com/card/detail/115,AMEX
https://www.card-gorilla.com/card/detail/116,Mastercard
https://www.card-gorilla.com/card/detail/120,Mastercard
https://www.card-gorilla.com/card/detail/121,VISA
https://www.card-gorilla.com/card/detail/121,Mastercard
https://www.card-gorilla.com/card/detail/121,UnionPay
https://www.card-gorilla.com/card/detail/122,VISA
https://www.card-gorilla.com/card/detail/122,Mastercard
https://www.card-gorilla.com/card/detail/125,Mastercard
https://www.card-gorilla.com/card/detail/126,Mastercard
https://www.card-gorilla.com/card/detail/127,Mastercard
https://www.card-gorilla.com/card/detail/127,UnionPay
https://www.card-gorilla.com/card/detail/129,Mastercard
https://www.card-gorilla.com/card/detail/129,JCB
https://www.card-gorilla.com/card/detail/130,Mastercard
https://www.card-gorilla.com/card/detail/130,UnionPay
https://www.card-gorilla.com/card/detail/131,Mastercard
https://www.card-gorilla.com/card/detail/131,UnionPay
https://www.card-gorilla.com/card/detail/132,Mastercard
https://www.card-gorilla.com/card/detail/133,Mastercard
https://www.card-gorilla.com/card/detail/133,UnionPay
https://www.card-gorilla.com/card/detail/134,Mastercard
https://www.card-gorilla.com/card/detail/136,Mastercard
https://www.card-gorilla.com/card/detail/138,VISA
https://www.card-gorilla.com/card/detail/138,Mastercard
https://www.card-gorilla.com/card/detail/138,JCB
https://www.card-gorilla.com/card/detail/139,VISA
https://www.card-gorilla.com/card/detail/139,Mastercard
https://www.card-gorilla.com/card/detail/140,VISA
https://www.card-gorilla.com/card/detail/140,Mastercard
https://www.card-gorilla.com/card/detail/141,Mastercard
https://www.card-gorilla.com/card/detail/142,Mastercard
https://www.card-gorilla.com/card/detail/143,Mastercard
https://www.card-gorilla.com/card/detail/144,Mastercard
https://www.card-gorilla.com/card/detail/145,Mastercard
https://www.card-gorilla.com/card/detail/146,Mastercard
https://www.card-gorilla.com/card/detail/148,Mastercard
https://www.card-gorilla.com/card/detail/152,Mastercard
https://www.card-gorilla.com/card/detail/156,VISA
https://www.card-gorilla.com/card/detail/156,Mastercard
https://www.card-gorilla.com/card/detail/162,Mastercard
https://www.card-gorilla.com/card/detail/163,Mastercard
https://www.card-gorilla.com/card/detail/164,Mastercard
https://www.card-gorilla.com/card/detail/166,Mastercard
https://www.card-gorilla.com/card/detail/166,JCB
https://www.card-gorilla.com/card/detail/167,Mastercard
https://www.card-gorilla.com/card/detail/174,UnionPay
https://www.card-gorilla.com/card/detail/175,Mastercard
https://www.card-gorilla.com/card/detail/176,VISA
https://www.card-gorilla.com/card/detail/176,UnionPay
https://www.card-gorilla.com/card/detail/176,BC
https://www.card-gorilla.com/card/detail/185,Mastercard
https://www.card-gorilla.com/card/detail/185,UnionPay
https://www.card-gorilla.com/card/detail/186,VISA
https://www.card-gorilla.com/card/detail/186,Mastercard
https://www.card-gorilla.com/card/detail/186,JCB
https://www.card-gorilla.com/card/detail/191,VISA
https://www.card-gorilla.com/card/detail/191,JCB
https://www.card-gorilla.com/card/detail/192,UnionPay
https://www.card-gorilla.com/card/detail/193,Mastercard
https://www.card-gorilla.com/card/detail/193,JCB
https://www.card-gorilla.com/card/detail/194,VISA
https://www.card-gorilla.com/card/detail/194,Mastercard
https://www.card-gorilla.com/card/detail/194,UnionPay
https://www.card-gorilla.com/card/detail/194,JCB
https://www.card-gorilla.com/card/detail/194,AMEX
https://www.card-gorilla.com/card/detail/197,Mastercard
https://www.card-gorilla.com/card/detail/198,Mastercard
https://www.card-gorilla.com/card/detail/199,Mastercard
https://www.card-gorilla.com/card/detail/200,Mastercard
https://www.card-gorilla.com/card/detail/201,VISA
https://www.card-gorilla.com/card/detail/201,Mastercard
https://www.card-gorilla.com/card/detail/203,VISA
https://www.card-gorilla.com/card/detail/203,Mastercard
https://www.card-gorilla.com/card/detail/203,AMEX
https://www.card-gorilla.com/card/detail/204,VISA
https://www.card-gorilla.com/card/detail/204,Mastercard
https://www.card-gorilla.com/card/detail/204,AMEX
https://www.card-gorilla.com/card/detail/205,VISA
https://www.card-gorilla.com/card/detail/205,Mastercard
https://www.card-gorilla.com/card/detail/205,AMEX
https://www.card-gorilla.com/card/detail/206,VISA
https://www.card-gorilla.com/card/detail/206,Mastercard
https://www.card-gorilla.com/card/detail/206,AMEX
https://www.card-gorilla.com/card/detail/207,Mastercard
https://www.card-gorilla.com/card/detail/214,VISA
https://www.card-gorilla.com/card/detail/214,Mastercard
https://www.card-gorilla.com/card/detail/215,VISA
https://www.card-gorilla.com/card/detail/215,Mastercard
https://www.card-gorilla.com/card/detail/217,VISA
https://www.card-gorilla.com/card/detail/217,Mastercard
https://www.card-gorilla.com/card/detail/227,VISA
https://www.card-gorilla.com/card/detail/227,Mastercard
https://www.card-gorilla.com/card/detail/227,UnionPay
https://www.card-gorilla.com/card/detail/227,JCB
https://www.card-gorilla.com/card/detail/227,AMEX
https://www.card-gorilla.com/card/detail/228,VISA
https://www.card-gorilla.com/card/detail/228,Mastercard
https://www.card-gorilla.com/card/detail/228,UnionPay
https://www.card-gorilla.com/card/detail/231,VISA
https://www.card-gorilla.com/card/detail/231,Mastercard
https://www.card-gorilla.com/card/detail/232,VISA
https://www.card-gorilla.com/card/detail/232,Mastercard
https://www.card-gorilla.com/card/detail/232,JCB
https://www.card-gorilla.com/card/detail/234,VISA
