source_url,condition_id,category_name,group_name,rate,fixed_amount,raw_text
https://www.card-gorilla.com/card/detail/59,36,캐시백,캐시백,0.2,,"국내외 연간 누적 이용금액 1,500만원당 30,000원 캐시백"
https://www.card-gorilla.com/card/detail/64,40,무이자할부,무이자할부,,,주말 5만원 이상 결제 시 2~3개월 무이자할부
https://www.card-gorilla.com/card/detail/73,42,무이자할부,무이자할부,,,할부전환서비스 / 무이자할부
https://www.card-gorilla.com/card/detail/82,47,무료서비스,프리미엄,,,프리미엄 골프/라이프 서비스 제공
https://www.card-gorilla.com/card/detail/87,52,무료서비스,공항라운지/PP,,,인천/김포/김해공항라운지 무료 이용 서비스 (MasterCard 브랜드로 발급 시 제공)
https://www.card-gorilla.com/card/detail/89,54,무료서비스,자동차,,2000,"CLUB Most 멤버십 서비스 제공 및 주차장 2,000원 청구할인"
https://www.card-gorilla.com/card/detail/91,56,바우처,바우처,,,"프리미엄 기프트 서비스(연 1회, 택1)"
https://www.card-gorilla.com/card/detail/92,57,바우처,바우처,,,"프리미엄 기프트 서비스(연 1회, 택1)"
https://www.card-gorilla.com/card/detail/93,58,바우처,바우처,,,"프리미엄 기프트 서비스(연 1회, 택1)"
https://www.card-gorilla.com/card/detail/107,61,무이자할부,무이자할부,,,"백화점, 대형마트, 정비, 손해보험 업종 2~3개월 무이자할부 서비스"
https://www.card-gorilla.com/card/detail/115,67,캐시백,해외,5.0,,해외이용(해외직구) 5% 할인 캐시백 (전월실적 30만원 이상)
https://www.card-gorilla.com/card/detail/140,84,무이자할부,무이자할부,,,"백화점, 대형마트, 정비, 손해보험 업종 2~3개월 무이자할부 서비스"
https://www.card-gorilla.com/card/detail/174,99,바우처,바우처,,,각종 바우처 제공
https://www.card-gorilla.com/card/detail/194,107,무이자할부,무이자할부,,,6개월 슬림할부(부분 무이자할부) 서비스
https://www.card-gorilla.com/card/detail/392,210,바우처,국민행복,,,국민행복 바우처 서비스
https://www.card-gorilla.com/card/detail/410,220,무이자할부,무이자할부,,,무이자할부 서비스
https://www.card-gorilla.com/card/detail/422,227,바우처,바우처,,,"M포인트로 여행, 면세점, 호텔에서 사용 가능한 the Green 바우처 교환"
https://www.card-gorilla.com/card/detail/423,228,바우처,바우처,,,최대 50만원 상당의 바우처 제공(연 1회)
https://www.card-gorilla.com/card/detail/424,229,바우처,바우처,,,"[공통 제공 혜택]
연 1회, 여행과 쇼핑을 위한 바우처"
https://www.card-gorilla.com/card/detail/425,230,바우처,바우처,,,코스트코 리워드 포인트 매년 1회 바우처 교환
https://www.card-gorilla.com/card/detail/455,245,바우처,국민행복,,,국가바우처
https://www.card-gorilla.com/card/detail/539,286,무이자할부,병원,,,의료업종 2~3개월 무이자 할부
